WARNING 2025-07-15 15:03:19,402 basehttp "GET /api/me/ HTTP/1.1" 401 58
INFO 2025-07-15 15:03:19,479 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:03:19,489 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:03:19,496 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:03:19,498 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
WARNING 2025-07-15 15:04:20,123 log Unauthorized: /api/me/
WARNING 2025-07-15 15:04:20,125 log Unauthorized: /api/me/
WARNING 2025-07-15 15:04:20,126 basehttp "GET /api/me/ HTTP/1.1" 401 58
WARNING 2025-07-15 15:04:20,128 basehttp "GET /api/me/ HTTP/1.1" 401 58
INFO 2025-07-15 15:04:20,202 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:04:20,202 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:04:20,220 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:04:20,222 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:05:35,962 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:05:35,962 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:05:35,967 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:05:35,967 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
WARNING 2025-07-15 15:09:55,711 log Unauthorized: /api/me/
WARNING 2025-07-15 15:09:55,726 basehttp "GET /api/me/ HTTP/1.1" 401 58
WARNING 2025-07-15 15:09:55,754 log Unauthorized: /api/me/
WARNING 2025-07-15 15:09:55,768 basehttp "GET /api/me/ HTTP/1.1" 401 58
INFO 2025-07-15 15:09:55,814 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:09:55,834 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:09:55,834 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:09:55,839 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
WARNING 2025-07-15 15:14:38,580 log Unauthorized: /api/me/
WARNING 2025-07-15 15:14:38,590 basehttp "GET /api/me/ HTTP/1.1" 401 58
WARNING 2025-07-15 15:14:38,610 log Unauthorized: /api/me/
WARNING 2025-07-15 15:14:38,614 basehttp "GET /api/me/ HTTP/1.1" 401 58
INFO 2025-07-15 15:14:38,658 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:14:38,658 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:14:38,679 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:14:38,694 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
WARNING 2025-07-15 15:15:39,766 log Unauthorized: /api/me/
WARNING 2025-07-15 15:15:39,767 basehttp "GET /api/me/ HTTP/1.1" 401 58
WARNING 2025-07-15 15:15:39,781 log Unauthorized: /api/me/
WARNING 2025-07-15 15:15:39,786 basehttp "GET /api/me/ HTTP/1.1" 401 58
INFO 2025-07-15 15:15:39,863 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:15:39,863 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:15:39,876 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:15:39,878 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:16:15,004 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:16:15,018 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:16:15,026 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:16:15,043 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:17:16,748 basehttp "POST /api/auth/google/ HTTP/1.1" 200 365
INFO 2025-07-15 15:17:16,821 basehttp "GET /api/me/ HTTP/1.1" 200 567
INFO 2025-07-15 15:17:16,953 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:17:16,955 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:17:16,986 basehttp "GET /api/pelamar/lamaran/ HTTP/1.1" 200 3382
INFO 2025-07-15 15:17:16,990 basehttp "GET /api/pelamar/lamaran/ HTTP/1.1" 200 3382
INFO 2025-07-15 15:17:25,366 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:17:25,470 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:17:28,715 basehttp "GET /api/v1/informasi/ HTTP/1.1" 200 240
INFO 2025-07-15 15:17:28,718 basehttp "GET /api/v1/informasi/ HTTP/1.1" 200 240
INFO 2025-07-15 15:17:36,293 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:17:36,300 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
